Lines of code metrics;domingo; 4 dez. 2022 00:58:33 WET;;;;;;;;;;;;;;;
Method;CLOC;JLOC;LOC;NCLOC;RLOC;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.getLocalTxnId();3;3;6;3;4,38%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.getOperationDtoJson();3;3;6;3;4,38%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.key();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.setId(Integer);3;3;6;3;4,38%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.setLocalTxnId(Integer);3;3;6;3;4,38%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.setOperationDtoJson(String);3;3;6;3;4,38%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.value1();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.value1(Integer);0;0;5;5;3,65%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.value2();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.value2(Integer);0;0;5;5;3,65%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.value3();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.value3(String);0;0;5;5;3,65%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.values(Integer; Integer; String);0;0;7;7;5,11%;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.valuesRow();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.TaskRecord();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.TaskRecord(String; Integer; String; String; String; Boolean; Boolean; ...);3;3;22;19;4,07%;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component1();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component10();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component11();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component12();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component13();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component14();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component15();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component16();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component2();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component3();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component4();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component5();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component6();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component7();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component8();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.component9();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field1();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field10();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field11();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field12();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field13();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field14();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field15();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field16();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field2();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field3();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field4();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field5();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field6();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field7();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field8();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.field9();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.fieldsRow();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getColor();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getCompletion();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getCostManualValue();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getDuration();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getEarliestStartDate();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getIsCostCalculated();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getIsMilestone();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getIsProjectTask();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getName();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getNotes();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getNum();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getPriority();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getShape();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getStartDate();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getUid();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.getWebLink();3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.key();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setColor(String);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setCompletion(Integer);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setCostManualValue(BigDecimal);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setDuration(Integer);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setEarliestStartDate(LocalDate);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setIsCostCalculated(Boolean);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setIsMilestone(Boolean);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setIsProjectTask(Boolean);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setName(String);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setNotes(String);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setNum(Integer);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setPriority(String);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setShape(String);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setStartDate(LocalDate);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setUid(String);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.setWebLink(String);3;3;6;3;1,11%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value1();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value1(String);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value10();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value10(Integer);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value11();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value11(LocalDate);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value12();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value12(String);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value13();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value13(String);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value14();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value14(BigDecimal);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value15();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value15(Boolean);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value16();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value16(String);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value2();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value2(Integer);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value3();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value3(String);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value4();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value4(String);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value5();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value5(String);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value6();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value6(Boolean);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value7();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value7(Boolean);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value8();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value8(LocalDate);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value9();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.value9(Integer);0;0;5;5;0,93%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.values(String; Integer; String; String; String; Boolean; Boolean; ...);0;0;20;20;3,70%;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord.valuesRow();0;0;4;4;0,74%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.TaskcustomcolumnRecord();3;3;6;3;4,38%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.TaskcustomcolumnRecord(String; String; String);3;3;9;6;6,57%;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.component1();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.component2();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.component3();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.field1();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.field2();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.field3();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.fieldsRow();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.getColumnId();3;3;6;3;4,38%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.getColumnValue();3;3;6;3;4,38%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.getUid();3;3;6;3;4,38%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.key();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.setColumnId(String);3;3;6;3;4,38%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.setColumnValue(String);3;3;6;3;4,38%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.setUid(String);3;3;6;3;4,38%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.value1();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.value1(String);0;0;5;5;3,65%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.value2();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.value2(String);0;0;5;5;3,65%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.value3();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.value3(String);0;0;5;5;3,65%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.values(String; String; String);0;0;7;7;5,11%;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord.valuesRow();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.TaskdependencyRecord();3;3;6;3;3,02%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.TaskdependencyRecord(String; String; String; Integer; String);3;3;11;8;5,53%;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.component1();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.component2();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.component3();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.component4();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.component5();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.field1();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.field2();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.field3();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.field4();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.field5();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.fieldsRow();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.getDependantUid();3;3;6;3;3,02%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.getDependeeUid();3;3;6;3;3,02%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.getHardness();3;3;6;3;3,02%;;;;;;;;;;;;
